case_name,country,province,location,infrastructure_type,supply_chain_role,link_to_eu,main_impacts,conflict_category,affected_groups,main_actors,status_standardized,evidence_quality,relevance_to_core_argument,article_use_recommendation,us_coast_bucket,lng_specificity,raw_link,notes
"Coral North FLNG, Mozambique",Mozambique,Cabo Delgado,Offshore,FLNG,Export / extraction,Broader LNG / environmental justice context,"Air pollution; Fires; Global warming; Noise pollution; Oil spills; Reduced ecological / hydrological connectivity; Biodiversity loss (wildlife, agro-diversity); Surface water pollution / Decreasing water (physico-chemical, biological) quality; Mental problems including stress, depression and suicide; Accidents; Violence related health impacts (homicides, rape, etc..) ; Deaths; Displacement | Lack of work security, labour absenteeism, firings, unemployment | Loss of livelihood | Loss of traditional knowledge/practices/cultures | Specific impacts on women | Violations of human rights | Loss of landscape/sense of place | Increase in Corruption/Co-optation of different actors | Increase in violence and crime | Militarization and increased police presence",Water / pollution,Fishing and coastal communities; Workers; Local residents; Farmers; Women,ENI; ExxonMobil Corporation; China National Petroleum Corporation; Korea Gas Corporation (Kogas); Africa Development Bank; Intesa San Paolo; ABN Amro Bank; Credit Agricole; BNP Paribas; Societe Generale; The government of Mozambique: https://embassymozambique.se/en/mozambique/ |,Planned,medium,contextual,Broader context only,,Direct LNG case,https://ejatlas.org/conflict/coral-north-flng-mozambique,No additional coding note.
"Andes LNG, Chile",Chile,Region Atacama,"Bahia Chasco, near Caleta Punta de Choros",Pipeline,Transit,Broader LNG / environmental justice context,"Biodiversity loss (wildlife, agro-diversity); Loss of landscape/aesthetic degradation; Oil spills; Exposure to unknown or uncertain complex risks (radiation, etc…); Other environmental related diseases; Accidents; Mental problems including stress, depression and suicide; Loss of livelihood | Loss of landscape/sense of place",Water / pollution,Indigenous communities; Fishing and coastal communities; Local residents,Mitsui & Co Ltd; Royal Dutch Shell; Wärtsilä ; The Comité de Ministros of the SEIA (sistema evaluacion impacto ambiental) |,Cancelled / suspended,strong,contextual,Broader context only,,Direct LNG case,https://ejatlas.org/conflict/andes-lng,No additional coding note.
"Groningen Gas, Netherlands",Netherlands,Groningen,Groningen,Extraction / gas field,Broader gas / LNG context,Broader LNG / environmental justice context,"Loss of landscape/aesthetic degradation; Large-scale disturbance of hydro and geological systems; Global warming; Other Environmental impacts; Deaths; Accidents; Mental problems including stress, depression and suicide; Exposure to unknown or uncertain complex risks (radiation, etc…); Loss of landscape/sense of place | Loss of livelihood | Violations of human rights | Other socio-economic impacts | Displacement | Huge loss in property value, economic loss,",Health / air pollution,Indigenous communities; Local residents; Farmers,Energie Beheer Nederland; Royal Dutch Shell; ExxonMobil Corporation; Ministerie van Economische Zaken (https://www.rijksoverheid.nl/onderwerpen/aardbevingen-in-groningen) Staatstoezicht op de Mijnen ( https://www.sodm.nl/onderwerpen/aardbevingen-groningen ) |,Cancelled / suspended,medium,contextual,Broader context only,,Broader gas case with LNG linkage,https://ejatlas.org/conflict/groningen-gas,No additional coding note.
"Protests in Huelva against the use of liquefied gas, Spain",Spain,Andalusia,Huelva,LNG terminal,Import / regasification,Direct EU supply / importing infrastructure,"Biodiversity loss (wildlife, agro-diversity); Surface water pollution / Decreasing water (physico-chemical, biological) quality; Noise pollution; Air pollution; Global warming; Loss of landscape/aesthetic degradation; Soil contamination; Waste overflow; Accidents; Loss of landscape/sense of place",Health / air pollution,Local residents,Enagas; Municipality of Huelva https://www.huelva.es/portal/ Port Authority of Huelva https://www.puertohuelva.com/ Government of Spain (energy policies) |,Operating,strong,core,Keep in core article,,Direct LNG case,https://ejatlas.org/conflict/protestas-en-huelva-contra-el-uso-del-gas-licuado-stop-al-lavado-verde-espana,No additional coding note.
"Resistance against the Permian Highway Pipeline, Texas, USA",United States,Central Texas,Not specified clearly in live EJAtlas metadata.,Pipeline,Transit,Broader LNG / environmental justice context,"Loss of landscape/aesthetic degradation; Noise pollution; Soil contamination; Surface water pollution / Decreasing water (physico-chemical, biological) quality; Groundwater pollution or depletion; Global warming; Exposure to unknown or uncertain complex risks (radiation, etc…); Accidents; Displacement | Land dispossession | Violations of human rights | Loss of landscape/sense of place",Water / pollution,Indigenous communities; Local residents; Farmers,Kinder Morgan ; Mitsubishi UFJ Financial Group; CoBank; Commonwealth Bank of Australia; Credit Agricole; Intesa San Paolo; Korea Development Bank; Mizuho Bank; Sumitomo Mitsui Banking Corporation.; Societe Generale; Kookmin Bank; Texas Railroad Commission: https://www.rrc.texas.gov/ City of Austin: https://www.austintexas.gov/ City of Kyle: https://www.cityofkyle.gov/city-hall/mayor-and-council/ City of San Marcos: https://www.sanmarcostx.gov/ Texas Legislature: https://capitol.texas.gov/ Hays County: https://www.hayscountytx.gov/ Army Corps of Engineers Texas Railroad Commission https://www.rrc.texas.gov/ |,Operating,medium,contextual,Broader context only,Gulf Coast,Broader gas case with LNG linkage,https://ejatlas.org/conflict/resistance-against-the-permian-highway-pipeline,No additional coding note.
"Bratislava LNG terminal cancellation, Slovakia",Slovakia,Bratislava Region,Bratislava,LNG terminal,Import / regasification,Direct EU supply / importing infrastructure,"Noise pollution; Groundwater pollution or depletion; Air pollution; Fires; Global warming; Loss of landscape/aesthetic degradation; Surface water pollution / Decreasing water (physico-chemical, biological) quality; Biodiversity loss (wildlife, agro-diversity); Accidents",Water / pollution,Local residents,Verejné Prístavy; Ministry of Transport https://www.mindop.sk/en/ Mayor of the City District City Hall https://bratislava.sk/en/city-of-bratislava/city-administration/city-hall Ministry of Environment https://www.minzp.sk/en/about-us/ |,Cancelled / suspended,strong,core,Keep in core article,,Direct LNG case,https://ejatlas.org/conflict/civil-society-resistance-and-the-cancellation-of-the-bratislava-lng-terminal-in-slovakia,No additional coding note.
"Washington Park and South Providence Residents Oppose Allens Avenue Waste Transfer Station, RI, USA",United States,Rhode Island,Providence,Liquefaction / export facility,Export / extraction,Indirect EU supply chain / export-side context,"Air pollution; Fires; Noise pollution; Soil contamination; Other Environmental impacts; Loss of landscape/aesthetic degradation; Waste overflow; Surface water pollution / Decreasing water (physico-chemical, biological) quality; Other Health impacts; Loss of landscape/sense of place",Health / air pollution,Local residents,Allens Providence Recycling LLC,Cancelled / suspended,strong,core-provisional,Keep in core article with scope note,East Coast,Broader gas case with LNG linkage,https://ejatlas.org/conflict/washington-park-and-south-providence-residents-oppose-allens-avenue-waste-transfer-station,No additional coding note.
"Koa-Gas movement against gas drilling, Bavaria, Germany",Germany,Bavaria,Municipality of Landsberg,Extraction / gas field,Broader gas / LNG context,Broader LNG / environmental justice context,"Global warming; Loss of landscape/aesthetic degradation; Noise pollution; Soil contamination; Groundwater pollution or depletion; Other Environmental impacts; Air pollution; Biodiversity loss (wildlife, agro-diversity); Accidents; Loss of livelihood | Loss of landscape/sense of place",Water / pollution,Local residents,MCF Energy Ltd.; Genexco GmbH; Mineralöl-Rohstoff-Handel GmbH; Energieprojekt Lech Kinsau 1 GmbH; UOS Drilling S.A.; RED Drilling & Services GmbH; Bergamt Südbayern; - Hubert Aiwanger (Freie Wähler): Minister of Finance in Bavaria - Markus Söder (CSU): Minister President in Bavaria - BMWK: Growth initiative of the federal government in Germany - Bergamt Südbayern |,Planned,strong,contextual,Broader context only,,Broader gas case with LNG linkage,https://ejatlas.org/conflict/gas-extraction-kinsau-1-reichling,No additional coding note.
"No LNG in PVD Opposes National Grid Liquefaction Project, RI, US",United States,Rhode Island,Providence,Liquefaction / export facility,Export / extraction,Indirect EU supply chain / export-side context,Fires; Oil spills; Soil erosion; Air pollution; Global warming; Soil contamination; Accidents; Other Health impacts; Increase in Corruption/Co-optation of different actors | Loss of landscape/sense of place | Other socio-economic impacts | Increased utility shut offs due to rise in electricity prices to pay for the project,Water / pollution,Indigenous communities; Local residents; Women,"National Grid ; Rhode Island Department of Environmental Management, Rhode Island Coastal Resources Management Council, Federal Energy and Regulatory Commission (FERC) |",Operating,strong,core-provisional,Keep in core article with scope note,East Coast,Direct LNG case,https://ejatlas.org/conflict/no-lng-in-pvd-opposed-national-grid-liquefaction-project,No additional coding note.
"Balama graphite mine in Cabo Delgado, Mozambique",Mozambique,Cabo Delgado,near Montepuez,Port / logistics hub,Export / extraction,Broader LNG / environmental justice context,"Loss of landscape/aesthetic degradation; Waste overflow; Surface water pollution / Decreasing water (physico-chemical, biological) quality; Groundwater pollution or depletion; Biodiversity loss (wildlife, agro-diversity); Food insecurity (crop damage); Deforestation and loss of vegetation cover; Mine tailing spills; Exposure to unknown or uncertain complex risks (radiation, etc…); Occupational disease and accidents; Violations of human rights | Loss of landscape/sense of place | Specific impacts on women | Loss of traditional knowledge/practices/cultures | Lack of work security, labour absenteeism, firings, unemployment | Loss of livelihood | Land dispossession | Displacement | Militarization and increased police presence",Coastal / marine,Indigenous communities; Workers; Local residents; Farmers,"Syrah Resources; U.S. International Development Finance Corporation; Government of Mozambique RUIR (rapid intervention force, police) |",Operating,medium,contextual,Broader context only,,Broader gas case with LNG linkage,https://ejatlas.org/conflict/balama-graphite-mine,No additional coding note.
"Jordan Cove LNG and connector pipeline cancelled in Oregon, USA",United States,Oregon,Not specified clearly in live EJAtlas metadata.,Pipeline,Transit,Broader LNG / environmental justice context,"Biodiversity loss (wildlife, agro-diversity); Fires; Global warming; Loss of landscape/aesthetic degradation; Noise pollution; Deforestation and loss of vegetation cover; Air pollution; Violence related health impacts (homicides, rape, etc..) ; Lack of work security, labour absenteeism, firings, unemployment | Specific impacts on women | Violations of human rights | Land dispossession | Loss of landscape/sense of place | Loss of traditional knowledge/practices/cultures",Water / pollution,Indigenous communities; Fishing and coastal communities; Local residents; Farmers; Women,Pembina; Federal Energy Regulatory Commission https://www.ferc.gov/ |,Cancelled / suspended,medium,contextual,Broader context only,West Coast,Direct LNG case,https://ejatlas.org/conflict/connector-pipeline-and-terminal-cancelled-in-oregon-usa,No additional coding note.
"San Carlos Power Station, The Philippines",Philippines,Negros Occidental,San Carlos,LNG terminal,Import / export terminal,Broader LNG / environmental justice context,"Air pollution; Biodiversity loss (wildlife, agro-diversity); Global warming; Loss of landscape/aesthetic degradation; Accidents; Loss of landscape/sense of place | Increase in Corruption/Co-optation of different actors",Health / air pollution,Fishing and coastal communities; Workers; Local residents,San Miguel Corporation; Department of Energy Governor of Negros Occidental |,Cancelled / suspended,strong,contextual,Broader context only,,Direct LNG case,https://ejatlas.org/conflict/san-carlos-power-station,No additional coding note.
"Coal power plant to be built by Jiuquan Iron & Steel for alumina production at Nain, St Elizabeth , Jamaica",Jamaica,Not specified clearly in live EJAtlas metadata.,St Elizabeth,Port / logistics hub,Broader gas / LNG context,Broader LNG / environmental justice context,Insufficient information in live EJAtlas metadata to identify comparable impacts.,Health / air pollution,Local residents,Jiuquan Iron & Steel Company Limited (JISCO); Alpart. Alumina Partners of Jamaica; Development Bank of China,Cancelled / suspended,medium,contextual,Broader context only,,Broader gas case with LNG linkage,https://ejatlas.org/conflict/coal-fired-plant-to-be-built-by-chinese-company-jiuquan-iron-steel-at-nain-st-elizabeth-jamaica,No additional coding note.
"Floating Storage and Regasification Unit in the port of Piombino, Italy",Italy,"Livorno, Tuscany",Piombino,FSRU,Import / regasification,Direct EU supply / importing infrastructure,"Biodiversity loss (wildlife, agro-diversity); Loss of landscape/aesthetic degradation; Soil contamination; Surface water pollution / Decreasing water (physico-chemical, biological) quality; Large-scale disturbance of hydro and geological systems; Global warming; Accidents; Loss of landscape/sense of place | Lack of work security, labour absenteeism, firings, unemployment",Health / air pollution,Fishing and coastal communities; Workers; Local residents,"Snam Spa ; KN Energies; Italian Government – overarching authority behind the decision to host the FSRU. Ministry for Ecological Transition – led at the time by Roberto Cingolani, responsible for announcing and promoting the project. Chamber of Deputies’ Foreign Affairs Committee – received the official announcement from the Minister. SNAM – part state-owned company entrusted with management of FSRUs, including acquisition and operation of the Italis LNG vessel. Regional Government of Tuscany – headed by Eugenio Giani as President; he was appointed Special Commissioner for the FSRU project. Municipal authorities of Piombino – submitted observations and appeals, engaged in consultations. Regional Administrative Courts (Tribunale Amministrativo Regionale, TAR) – received and adjudicated appeals against the project. ARERA (Autorità di Regolazione per Energia Reti e Ambiente) – national energy regulator, involved in assessing the relocation of the FSRU. |",Operating,strong,core,Keep in core article,,Direct LNG case,https://ejatlas.org/conflict/floating-storage-and-regasification-unit-in-the-port-of-piombino,No additional coding note.
